"filename", "language", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\advisers-list\advisers-list.component.scss", "SCSS", 25, 0, 0, 1, 3, 29
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\advisers-list\advisers-list.component.ts", "TypeScript", 0, 0, 87, 0, 6, 93
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\config-create\config-create.component.html", "HTML", 0, 140, 0, 0, 1, 141
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\config-create\config-create.component.scss", "SCSS", 48, 0, 0, 0, 5, 53
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\config-create\config-create.component.ts", "TypeScript", 0, 0, 69, 0, 12, 81
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\matrix-list\matrix-list.component.html", "HTML", 0, 20, 0, 0, 1, 21
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\matrix-list\matrix-list.component.scss", "SCSS", 15, 0, 0, 0, 4, 19
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\matrix-list\matrix-list.component.ts", "TypeScript", 0, 0, 83, 0, 5, 88
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\mision-bot-config.component.html", "HTML", 0, 51, 0, 0, 1, 52
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\mision-bot-config.component.scss", "SCSS", 29, 0, 0, 0, 5, 34
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\mision-bot-config.component.ts", "TypeScript", 0, 0, 163, 2, 12, 177
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot.component.html", "HTML", 0, 5, 0, 0, 1, 6
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot.component.scss", "SCSS", 0, 0, 0, 3, 1, 4
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot.component.ts", "TypeScript", 0, 0, 31, 0, 6, 37
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\nebular\nebular.module.ts", "TypeScript", 0, 0, 94, 0, 2, 96
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\abstract-classes.service.ts", "TypeScript", 0, 0, 1063, 153, 133, 1349
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\global-variables.service.ts", "TypeScript", 0, 0, 191, 0, 19, 210
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\guards\login.guard.ts", "TypeScript", 0, 0, 20, 0, 4, 24
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\guards\validate-login.guard.ts", "TypeScript", 0, 0, 20, 0, 5, 25
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\interceptor\error-interceptor.ts", "TypeScript", 0, 0, 32, 0, 8, 40
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\interceptor\interceptor.service.ts", "TypeScript", 0, 0, 24, 0, 10, 34
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\interfaces.ts", "TypeScript", 0, 0, 109, 1, 17, 127
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\observer.service.ts", "TypeScript", 0, 0, 187, 44, 63, 294
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\requests.service.ts", "TypeScript", 0, 0, 60, 3, 15, 78
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\services\sw\worker.service.ts", "TypeScript", 0, 0, 40, 17, 10, 67
"Total", "-", 1648, 1215, 4638, 605, 1141, 9247
